STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,MONTH
MISSOURI,AUGUST,Thunderstorm Wind,COLE,0.0,0.06198868018011689,5,8
MISSOURI,AUGUST,Thunderstorm Wind,OSAGE,0.0,0.0,0,8
MISSISSIPPI,AUGUST,Thunderstorm Wind,OKTIBBEHA,15000.0,0.0,0,8
MISSISSIPPI,AUGUST,Thunderstorm Wind,LOWNDES,10000.0,0.0,0,8
MISSISSIPPI,AUGUST,Thunderstorm Wind,RANKIN,2000.0,0.0,0,8
MISSISSIPPI,AUGUST,Thunderstorm Wind,SUNFLOWER,5000.0,0.0,0,8
MISSOURI,AUGUST,Flash Flood,OSAGE,0.0,8.056055328198449,660,8
MISSOURI,AUGUST,Thunderstorm Wind,WASHINGTON,0.0,0.7068039001385338,6,8
ILLINOIS,AUGUST,Thunderstorm Wind,ST. CLAIR,0.0,0.0,0,8
ILLINOIS,AUGUST,Thunderstorm Wind,MARION,,0.0,0,8
MISSOURI,AUGUST,Thunderstorm Wind,MADISON,0.0,1.622510865283341,5,8
NEBRASKA,JULY,Thunderstorm Wind,WAYNE,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,STANTON,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CUMING,,0.0,0,7
MISSISSIPPI,JULY,Thunderstorm Wind,NESHOBA,25000.0,0.0,0,7
MISSISSIPPI,JULY,Thunderstorm Wind,NESHOBA,4000.0,2.188397152619864,2,7
MISSISSIPPI,JULY,Thunderstorm Wind,NESHOBA,2000.0,0.0,0,7
MISSISSIPPI,JULY,Lightning,NESHOBA,10000.0,0.0,0,7
MISSISSIPPI,JULY,Thunderstorm Wind,LAUDERDALE,50000.0,0.25924061172747465,2,7
MISSISSIPPI,JULY,Thunderstorm Wind,NESHOBA,15000.0,0.0,0,7
MISSISSIPPI,JULY,Flash Flood,LAUDERDALE,1000.0,0.0008061892684647378,60,7
